label,message,message_length,word_count,processed_message
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,20,go until jurong point crazi avail onli in bugi n great world la e buffet cine there got amor wat
ham,Ok lar... Joking wif u oni...,29,6,ok lar joke wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,28,free entri in 2 a wkli comp to win fa cup final tkt 21st may 2005 text fa to 87121 to receiv entri question std txt rate t c s appli 08452810075over18 s
ham,U dun say so early hor... U c already then say...,49,11,u dun say so earli hor u c alreadi then say
ham,"Nah I don't think he goes to usf, he lives around here though",61,13,nah i don t think he goe to usf he live around here though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",148,32,freemsg hey there darl it s been 3 week s now and no word back i d like some fun you up for it still tb ok xxx std chg to send 1 50 to rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,77,16,even my brother is not like to speak with me they treat me like aid patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,as per your request mell mell oru minnaminungint nurungu vettam ha been set as your callertun for all caller press 9 to copi your friend callertun
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,158,26,winner as a valu network custom you have been select to receivea 900 prize reward to claim call 09061701461 claim code kl341 valid 12 hour onli
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,29,had your mobil 11 month or more u r entitl to updat to the latest colour mobil with camera for free call the mobil updat co free on 08002986030
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,21,i m gon na be home soon and i don t want to talk about thi stuff anymor tonight k i ve cri enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,26,six chanc to win cash from 100 to 20 000 pound txt csh11 and send to 87575 cost 150p day 6day 16 tsandc appli repli hl 4 info
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",156,26,urgent you have won a 1 week free membership in our 100 000 prize jackpot txt the word claim to no 81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,37,i ve been search for the right word to thank you for thi breather i promis i wont take your help for grant and will fulfil my promis you have been wonder and a bless at all time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,8,i have a date on sunday with will
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,19,xxxmobilemovieclub to use your credit click the wap link in the next txt messag or click here http wap xxxmobilemovieclub com n qjkgighjjgcbl
ham,Oh k...i'm watching here:),26,4,oh k i m watch here
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,19,eh u rememb how 2 spell hi name ye i did he v naughti make until i v wet
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58,13,fine if that s the way u feel that s the way it gota b
